training_loss,training_acc,validation_loss,validation_acc
0.6964415199892219,0.7353864213501988,0.3246115709631896,0.8966942148760331
0.3796651812699466,0.8666810406784533,0.12259448954666202,0.9555785123966942
0.2915399612227122,0.8993579608068611,0.061707348062479794,0.9865702479338843
0.2501912735555016,0.9138038426524843,0.1560461143385773,0.9338842975206612
0.2247704922593175,0.9220808777729864,0.08593579658792039,0.9721074380165289
0.20485752364602272,0.9283575295865076,0.04420291439991845,0.9896694214876033
0.18948122238851256,0.9344784629390063,0.02985807258851272,0.9948347107438017
0.17893310310892468,0.9380719658856786,0.020551287673013514,0.9958677685950413
0.16790793696893638,0.9424440611374635,0.02882115901563286,0.9948347107438017
0.16103102543860406,0.9444204877581333,0.042455846851706995,0.9865702479338843
